epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,18697.9,0.69861,0.69116,1.20003,0.74828,0.56015,0.67701,0.53295,0.79947,0.86032,1.17007,0.000726312,0.000726312,0.000726312
59,18918.8,0.66659,0.6601,1.20447,0.70678,0.61882,0.68421,0.54121,0.77168,0.85193,1.14517,0.000709809,0.000709809,0.000709809
60,19140.4,0.65504,0.66464,1.18714,0.73169,0.62009,0.69833,0.53419,0.81235,0.85455,1.20176,0.000693305,0.000693305,0.000693305
61,19361.3,0.63164,0.66305,1.16728,0.67703,0.69219,0.70733,0.53228,0.83391,0.82547,1.2216,0.000676802,0.000676802,0.000676802
62,19583.8,0.6695,0.6595,1.18655,0.73106,0.63462,0.70414,0.53737,0.83088,0.87371,1.20661,0.000660299,0.000660299,0.000660299
63,19805.5,0.63027,0.6419,1.16046,0.7509,0.61026,0.69065,0.53979,0.81139,0.89309,1.19779,0.000643795,0.000643795,0.000643795
64,20027.2,0.65708,0.67108,1.18509,0.80468,0.60871,0.69533,0.52888,0.86304,0.86765,1.23018,0.000627292,0.000627292,0.000627292
65,20248.4,0.63623,0.62876,1.17267,0.653,0.65161,0.7014,0.53661,0.822,0.78983,1.20651,0.000610789,0.000610789,0.000610789
66,20470.5,0.62635,0.61042,1.15977,0.73695,0.62971,0.7141,0.54744,0.80129,0.78555,1.19236,0.000594286,0.000594286,0.000594286
67,20691.9,0.63765,0.655,1.18072,0.77894,0.57607,0.65933,0.51023,0.85095,0.85369,1.23152,0.000577782,0.000577782,0.000577782
68,20913.1,0.59481,0.59389,1.13737,0.78403,0.59509,0.69219,0.54643,0.7845,0.79523,1.16304,0.000561279,0.000561279,0.000561279
69,21134.6,0.62647,0.62233,1.15847,0.76462,0.62692,0.69595,0.53819,0.80346,0.80831,1.17493,0.000544776,0.000544776,0.000544776
70,21356.2,0.5883,0.6247,1.1595,0.71998,0.62281,0.68119,0.52376,0.78928,0.84511,1.16205,0.000528272,0.000528272,0.000528272
71,21577.4,0.59355,0.60401,1.14633,0.74882,0.59107,0.67484,0.5291,0.82352,0.88283,1.19502,0.000511769,0.000511769,0.000511769
72,21800.4,0.63977,0.61848,1.1645,0.68415,0.65885,0.68782,0.53298,0.816,0.85379,1.19769,0.000495266,0.000495266,0.000495266
73,22020.5,0.59324,0.58755,1.13868,0.75564,0.6141,0.70719,0.55527,0.7769,0.81212,1.16135,0.000478762,0.000478762,0.000478762
74,22240.8,0.60152,0.58226,1.15756,0.748,0.61581,0.7042,0.5539,0.79258,0.81747,1.15751,0.000462259,0.000462259,0.000462259
75,22460.8,0.606,0.58811,1.15073,0.79679,0.63281,0.7236,0.55908,0.80407,0.82804,1.1787,0.000445756,0.000445756,0.000445756
76,22681.5,0.54982,0.54977,1.11483,0.75878,0.61985,0.70595,0.54865,0.82971,0.83831,1.21908,0.000429253,0.000429253,0.000429253
77,22902.2,0.56092,0.55336,1.12232,0.80529,0.55684,0.67838,0.53411,0.79985,0.8622,1.18502,0.000412749,0.000412749,0.000412749
78,23123.3,0.57565,0.58758,1.1419,0.71008,0.6676,0.68853,0.53295,0.78684,0.8239,1.17162,0.000396246,0.000396246,0.000396246
79,23344.2,0.55968,0.55937,1.1287,0.77741,0.60427,0.68786,0.53191,0.81963,0.81155,1.20069,0.000379743,0.000379743,0.000379743
80,23565,0.56318,0.55114,1.12577,0.77547,0.61576,0.7247,0.55809,0.78635,0.76427,1.17881,0.000363239,0.000363239,0.000363239
81,23785.9,0.58501,0.56968,1.13299,0.81925,0.61388,0.72523,0.55106,0.82513,0.80893,1.19086,0.000346736,0.000346736,0.000346736
82,24007.1,0.54657,0.53273,1.12301,0.719,0.67435,0.71564,0.55297,0.79637,0.81847,1.16514,0.000330233,0.000330233,0.000330233
83,24227.2,0.56384,0.52902,1.11373,0.81825,0.62222,0.72457,0.56289,0.77404,0.74443,1.16216,0.000313729,0.000313729,0.000313729
84,24447.9,0.56696,0.5464,1.11314,0.78652,0.63547,0.71133,0.54945,0.77962,0.80586,1.1556,0.000297226,0.000297226,0.000297226
85,24668.4,0.56351,0.52458,1.10789,0.76197,0.65877,0.71506,0.54593,0.80018,0.82453,1.16801,0.000280723,0.000280723,0.000280723
86,24889.5,0.52287,0.51154,1.09875,0.75158,0.62564,0.69515,0.54343,0.78399,0.80101,1.17412,0.00026422,0.00026422,0.00026422
87,25110.6,0.52564,0.50165,1.09195,0.75953,0.59904,0.68989,0.54175,0.78348,0.83269,1.17859,0.000247716,0.000247716,0.000247716
88,25331.2,0.54227,0.51598,1.09833,0.77099,0.67094,0.72429,0.56634,0.78341,0.79459,1.1787,0.000231213,0.000231213,0.000231213
89,25552,0.53463,0.51204,1.09236,0.73101,0.68504,0.72054,0.56321,0.80043,0.84572,1.19933,0.00021471,0.00021471,0.00021471
90,25772.4,0.54162,0.50104,1.09846,0.73815,0.67265,0.70595,0.54177,0.8264,0.85929,1.23652,0.000198206,0.000198206,0.000198206
91,25993.1,0.61168,0.65202,1.16421,0.7141,0.68381,0.72229,0.56173,0.78836,0.80735,1.18953,0.000181703,0.000181703,0.000181703
92,26213,0.56967,0.5209,1.1333,0.73937,0.69563,0.7252,0.56031,0.79744,0.83507,1.2037,0.0001652,0.0001652,0.0001652
93,26436.9,0.55974,0.50949,1.14057,0.80197,0.62735,0.72376,0.54951,0.80374,0.84287,1.21707,0.000148696,0.000148696,0.000148696
94,26656.1,0.54608,0.48578,1.12613,0.73897,0.65427,0.70432,0.53733,0.80269,0.84658,1.21398,0.000132193,0.000132193,0.000132193
95,26876.4,0.53616,0.47271,1.11229,0.78071,0.62909,0.71963,0.55411,0.77674,0.82648,1.18118,0.00011569,0.00011569,0.00011569
96,27098,0.53832,0.467,1.13288,0.78428,0.62483,0.71533,0.5573,0.76328,0.8123,1.17151,9.91865e-05,9.91865e-05,9.91865e-05
97,27316.2,0.51811,0.4603,1.09759,0.79619,0.62951,0.71899,0.55887,0.75928,0.80326,1.16799,8.26832e-05,8.26832e-05,8.26832e-05
98,27535.2,0.51045,0.42388,1.07964,0.77285,0.62963,0.71744,0.55877,0.76421,0.80461,1.17792,6.61799e-05,6.61799e-05,6.61799e-05
99,27753.5,0.51354,0.44039,1.10088,0.78417,0.62935,0.71969,0.56796,0.76003,0.79915,1.17539,4.96766e-05,4.96766e-05,4.96766e-05
100,27971.7,0.5207,0.4273,1.09197,0.7997,0.62735,0.72237,0.56581,0.76039,0.79597,1.17593,3.31733e-05,3.31733e-05,3.31733e-05
